"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Ecommerce Cart Validation Tests","0","Cart Product Validation","1","0","Add Polo T-shirt and validate in cart","0"
"0","Authentication Tests","0","Login and Logout functionality","1","0","User logs out successfully","0"
"0","Ecommerce Category Search Tests","0","Search by Category","1","0","Search Women Dress category and validate results","0"
"0","Ecommerce Brand Search Tests","0","Brand Search Functionality","1","0","Search brand H&M","0"
"0","Ecommerce Brand Search Tests","0","Brand Search Functionality","1","0","Search brand Polo","0"
"0","Authentication Tests","0","Login and Logout functionality","1","0","User logs in with valid credentials","0"
"0","Ecommerce Checkout and Payment","0","Payment Process","1","0","Make payment after adding product to cart","0"
"0","Ecommerce Checkout","0","Checkout Process","1","0","Checkout Polo T-shirt","0"
"0","Ecommerce Category Search Tests","0","Search by Category","1","0","Search Women Tops category and validate results","0"
"0","Ecommerce Checkout and Payment","0","Order Placement","1","0","Complete purchase flow with payment","0"
"0","Authentication Tests","0","Login and Logout functionality","1","0","User tries to login with invalid password","0"
"0","Ecommerce Product Browsing","0","View and Add Product to Cart","1","0","Add product from brand search results","0"
